Date,Type,Link
2022-02-06 09:45:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6894898889561112576
2022-02-06 09:40:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6895555540584427520?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6895555540584427520%2C6895815660891439104%29
2022-02-06 09:40:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6895555540584427520
2022-02-06 09:39:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6895228510818983937
2022-01-25 09:49:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6881096428651851776?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6881096428651851776%2C6886373987937513472%29
2022-01-25 09:49:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6881096428651851776
2021-12-30 01:33:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6880701236656521216
2021-12-30 01:33:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878240406207807488
2021-12-30 01:32:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6880053388101378049
2021-12-29 02:07:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6876909056733327360
2021-12-29 02:05:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6877258274706624512
2021-12-29 02:05:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6877472635630960640
2021-12-29 02:04:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6877095022538354688
2021-12-29 01:45:11,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6881458101426384896
2021-09-20 10:13:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6844637646539546624
2021-09-20 10:09:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841964176727003136
2021-08-15 09:49:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6831528966457720832
2021-08-15 09:49:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6830156448916357120
2021-08-15 09:48:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6831097281802969088
2021-08-15 09:48:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6831543786183757824
2021-08-15 09:46:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6829284420629884928
2021-08-15 09:46:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6831099383220625408
2021-07-29 14:12:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6826148183945691136
2021-07-21 09:12:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821387623064576000
2021-07-11 05:26:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6817761603417583616
2021-07-11 05:14:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6817427033891729408
2021-07-11 05:13:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6815151895636668416
2021-07-11 05:13:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6817400470840070144
2021-07-11 05:12:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6818410842778943489
2021-07-11 05:06:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6819573556481949696
2021-07-11 05:02:55,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6818413392198438912
2021-07-03 09:41:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6815932190845739008
2021-06-27 14:47:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6814138409460740096
